wrong_sentence,error_index
پدر و مادر از شدّت تعجّب به او گفتند تیغ بزنیم ؟! آن هم سر دشمن را مگر میشود ؟ ولی مریم در مقابل این اعتراضها فقط حرف خودش را تکرار میکردو میگفت شما قول دادید و باید به قولتان عمل کنید . آنها با ناراحتی سر دخترشان را تراشیدند . [مالزی],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
یک دیوز بزرگ ساخته_است بین خوابگاه و خیابان در کشور من ، خوابگاه دانشگاه اینجوری وجود ندارند . [اسپانیا],"[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
با شروع فصل پاییز دبستانها ، دبیرستانها ، دانشگاههاو حوزههای علمیّه سال تحصیلی جدید را اغاز میکنند . دانشآموزان و دانشجویان با خوشحالی سر کلاسهای درس حاضر میشوند . با معلّمها و استادهای جدید آشنا میشوندو در کنار دوستان و همکلاسیهایشان روزهای خوب و خوشی را شروع میکنند . [سوریه],"[0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
بعضی از این مشکلان ، بودن دور از خانه واده ، زندگی در اتاق کوچق زیاد نفر ، امکانان محدود و غیر ... [ترکیه],"[0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
اولین حل برای این مشکل تغذیه رژیم و ورزش روزانه است که اگر افرادی اینها عادت کنند اصلاً که این مرض خطرناک سلامتی خود را از دست خود نمی دهند- یادآور باشد که خدا دنیا و همه چیزهای دنیا را برای انسانها آفریده و برای استفادۀ اینها اجازه داده ولی سوء استفاده را اصلاً ممانعت نموده_است - ولی مردم امروزها اصلاً فقط برای سواد و آسودگی نفس و هوای خود ، چیزهای قدرت و نعمت های قدرت رافراموش کرده_اند و بجایش تخلیقات انسانی را انتخای آورده_اند که به نظر آنها همین بدرد مردم این زمان می خورد- ما اگر دنبال حل این مشکل هستیم اول باید خودمان را حساب کنیم مقائسه کنیم که ما چه حدی برای از بین بردن این بیماری عامه فکرمندیم و چه گامهای برمی داریم چرا که تا وقتی که احساس نکنیم هیچ وقت حل مشکلی بدست مان نمی رسد- [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
سطل آبی است [آذربایجان],"[0, 0, 40]"
املا [بحرین],[12]
در حکایت ها آورده_اند که در زمان بنی اسرائیل شخضی سفره دریا می کرد نگاه بد تندی وزیدن گرفت و کشتی بر صخره ای زده بشکست و اهل گشتی همه ق رق شدند و او تمسک به چوبی کرده نجات یافت پس به کنار شهری رسید جمعی را دید از امرا که همه پیاده شدند و خلعت پادشاهی بر او پشانیدند . او را به شهر آوردند . مردگان تمنا می کنند که کاش زنده می بودیم و در راه خدا کار می کردیم اکنون که شما زنده اید زندگی را مغتنم شمرید و کاری کنید . خستگان تمنا می کنند که کاش تندروست می بودیم و بدین خاطر از خدا خوشنود می بودیم و برای زواید خود را رنجه نمی داشتیم . اکنون شما تندروستید . آن وعده که ایشان می کنند به جا آوریدو از پی فضولات عیش و بود و نبود آن غسه نخورید . امام خمینی قودس سره پس از ورود پیروز مندانه به ایران مستقیم از فرودگاه به بهشت زهرا رفتند و در کنار مزار شاهدای انقلاب یکی از شورانگیز ترین سخنرانی های تاریخی خود را ایراد کردند و فرمودند که اداره ی کشور به زودی دولت تعیین خواهند_کرد . [آمریکا],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
الف  دوست اسم من نورگول است . [قرقیزستان],"[0, 0, 0, 0, 0, 13, 0, 0]"
این موضوع درباره¬ی بخش از زندگی من است چونکه من دور از خانواده¬ام درس می¬خوانم و مانند هر دانشجو در خوابگاه زندگی می¬کنم . [قزاقستان],"[0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
شمع نور دارد [عراق],"[40, 0, 0]"
بعد از زیارت کردن به بازار می روم در آن جا وسایل خوراکی و وسایل خانه هم می خرم . [پاکستان],"[0, 0, 0, 0, 0, 0, 40, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
هنوز روز به نیمه نرسیده_بود که ناگهان این جمله از رادیو شنیده_شد این صدا صدای انقلاب است انقلاب در میان بهت ناباوران پیروز شده_بود امّا دشمن هنوز کامل از پای درنیامده بود و با کمک مزدوران خود در گوشه و کنار مملکت دست به خراب کاری میزد . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
چاپلوسان ثنا گو را از خود دور بدار- زیرا آن ناکسان همیشه طالبن نعمت و آسایش اند و در روز سختی تو را به جنگ بلا سپارند و خود به گرد دیگر حلقه زنند . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
کف پاهایش بگونی است که در خاکهای نرم فرو نمیرود و به راحتی میتواند در ماسهها و شنهای نرم بیابان حرکت کند . [پاکستان],"[0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
روزی که مردم قصد پادشاه کردند فرا رسید وزیر شاه را خبر کرد و خود بیش از همه رفته و زورق بر دریا انداخت وقتی خلایق بر سره پادشاه ریختند و از شهر بیرون و در دریا اندختند غلامان پادشاه را کرفته در زورق جای دادند و به شهری که بنا کرده_بود رسانیدند پادشاه و وزیر به مقصد اصلی خود رسیدند و همه ی عمر را به خوشی گذرانیدند پس مردم که زایع شد استدراک ان محال است و سرّ خاصی که در آن دم بود دیگر باز نمی توان یافت زمان را غذا نیست دریغ از چنین گوهر نفیسی که چنین به هیچ از دست می رود . عزیزان دریابید خود را که حیف از این نازنین عمر که چنین زایع از دست برود و گروهی از وی نگیرید او در تمام دوران جوانی کوشش خود را برای آموختن به کار می برد و تا نیمه های شب بیدار می ماند و مطالعه می کرد ایشان هم چنین از جوانی به سحرخیزی تهجد و راز و نیازهای شبان اهتمام داشت و می توان گفت که هیچ گاه پیش از طلوع آفتاب در خواب نبود . [گامبیا],"[0, 0, 0, 0, 0, 0, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ایا ان دو کلکل است . نه ان شوتر است . [آذربایجان],"[0, 25, 0, 0, 0, 0, 0, 25, 0, 0, 0]"
ترسو را در مجلس سرا خیش راه ماده ، چون او هم خود می ترسد و هم کشش می کند تا پایی تسمیم و عراده ی اهل مشورط را سسط کند . شرم و حیا نباید مانه سؤال علمی و شاعسته ی او گردد بلکه با ناهایت جرعت و شاهمت آن را از استاد خود پرسیده و برای آن جواب کامل بخواهد . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
به نظر من غذای که در خونع درست شد سلمتر از غذای رستورنع . [گرجستان],"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0]"
من همیشه فگر می کردم و الان هم به نظر من اگر یکی می خواهد_مسفرنی بکند و به کشور دیگری برود  مثل دانشجو یا گردشگر فرق نداره  آن مرد باید بفهمد ، که هر کشور عاداب و رسوم ، فرهنگ و قوانین خود را دارد و اگر تو اصلان احترام داری به این کشو و ملت باید این زمان کوتاه هم قوانین این کشور رعایت بکند . [ارمنستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ای برادران کار جهان یکسان نمیباشد و حال آدمی بر یک نهج نمیماند باید پنج چیز را پیش از پنج چیز غنیمت شمرد زندگانی را پیش از مرگ ، تن درستی را پیش از خستگی ، جوانی را پیش از پیری ، توانگری را پیش از تنگ دستی ، فراغ را پیش از شغل هر کس که این پنج نعمت از دست داد و از آنها بهره نبرد وای بر او چون دور بگردد و حال دگرگون شود و این نعمتها از وی سلب کنند . روح الله در محضر استاد خود آیت الله حائری پایههای علمی خود را تحکیم و تکمیل کرده و در زمرهی نوابغ علمی قرار گرفت . ایشان در سن سی و شش سالگی به درجهی اجتهاد دست یافت ودر علوم هیئت فلسفه حکمت و عرفان نیز دارای مهارتی ویژه گردید و به تدریس فقه و فلسفه و اخلاق و عرفان مشغول شد . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0]"
برادر کوچه ک بیست شش سال دارد . [چین],"[0, 0, 0, 12, 12, 0, 0, 0]"
اینجا  یک دندانه کم دارد  بیا . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 40]"
حدود ساعت پنج ، هوا بارانی شود [چین],"[0, 0, 0, 0, 0, 0, 13]"
اگر خنده بر او چیره گشت به دانه قهقه و بی سرو صدا باشد یعنی فقط لبخند بزنم و توصم کند . [آذربایجان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]"
ترسو را در مجلس شرایی خویش راه مده ، چون او هم خود می ترسد و هم کوشش می کند تا پایی تصمیم و اراده ی اهل مشورت را سست کند . شرم و هایی نباید مانع سؤال علمی و شایسته ی او گردد بلکه با نهایت جرعت و شیهت آن را از استاد خود پرسیده و برای آن جواب کامیل بخواهد . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]"
بیابان به جاهای وسیع و خشک و بدون آب گفته_میشود . در حافظهی انسان یادآوری و فراموشی دو نعمتِ بزرگ است که خداوند به انسان داده_است . بدون این دو مشکلات زیادی برای انسان به وجود میآید . چون انسان بی حافظه همهی چیز را فراموش میکند . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
و در این شهر  آگره  یکی از مهم ترین شخصیا های جهان تشیع  شهید ثالث  قاضی نورالله شوشتری  ر  آنجا مدفون است . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0]"
معلم و شاگرد باید سعی کنند نیروایی بدست آورند که در پرتو آن حس پزیرش حق و تشلیم در برابر واقیت در انان به سمار رسد بر شاگرد لازم است هم واره پیش از استاد در جلسه درس حضیر شود و اگر نچار از تأخیر شود به گونه ای نباشد که استاد منتظر او شود و یا مجبور به تکرار به درس گردد . ذکر این قصه ی تمثیلی است قاویلانه به خود آیند و فکری به عاقبت این جنجال زندگی نمایند و جزیره ای آباد برای روزگار واپسین بسازند . [گینه],"[0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
حلا ، سرجا در جهان ، مردم ها چاق شدند ، برای اینکه غذا ، مصلا مک دنلدس و غیره معروف می شوند . [بلاروس],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
در حکایت ها آورده_اند که در زمان بنی اسرائیل شخضی سفره دریا می کرد نگاه بد تندی وزیدن گرفت و کشتی بر صخره ای زده بشکست و اهل گشتی همه ق رق شدند و او تمسک به چوبی کرده نجات یافت پس به کنار شهری رسید جمعی را دید از امرا که همه پیاده شدند و خلعت پادشاهی بر او پشانیدند . او را به شهر آوردند . مردگان تمنا می کنند که کاش زنده می بودیم و در راه خدا کار می کردیم اکنون که شما زنده اید زندگی را مغتنم شمرید و کاری کنید . خستگان تمنا می کنند که کاش تندروست می بودیم و بدین خاطر از خدا خوشنود می بودیم و برای زواید خود را رنجه نمی داشتیم . اکنون شما تندروستید . آن وعده که ایشان می کنند به جا آوریدو از پی فضولات عیش و بود و نبود آن غسه نخورید . امام خمینی قودس سره پس از ورود پیروز مندانه به ایران مستقیم از فرودگاه به بهشت زهرا رفتند و در کنار مزار شاهدای انقلاب یکی از شورانگیز ترین سخنرانی های تاریخی خود را ایراد کردند و فرمودند که اداره ی کشور به زودی دولت تعیین خواهند_کرد . [آمریکا],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
اولین فصل فصل بهار است در این فصل آب  آ کلاه ندارد  و هوا خیلی قشنگه هوا نه سرد نه گرم و گل های رنگارنگ است . [عراق],"[0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0]"
در جنگ احد چیزی که سبب شد مسلمانان روحیه یی خود را از دست به دهند . شایعه ی کشته شدن رسول اکرم بود . وقتی ابوزر به مکّه رسید محیت شهر را پر از وهشت و اختناق دید . چون هر کس نام پیامبر را می برد . یا با او ملاقات می کرد دستگیر و شکنجه می شد . ای فرماندار مبادا که در حکومت تو خادیم و خائن یکسان باشند ، زیرا خادیمی که در ازای خدمت خود مزد و مرحمت نبینددلسرد وبی قید می گردد . [کنیا],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
روزی که مردم قصد پادشاه کردند فرا رسید . وزیر شاه را خبر کرد و خود پیش از همه رفته و زورق بر دریا انداخت وقتی خلایق بر سر پادشاه ریختند و از شهر بیرون و در دریا انداختند غلامان پادشاه را گرفته در زورق جای دادند و به شهری که بنا کرده_بود رسانیدند پادشاه و وزیر به مقصد اصلی خود رسیدند و همه ی عمر را به خوشی گذرانیدند . پس مردم که ضایع شد استدراک آن محال است و سرّ خاصی که در آن دم بود دیگر باز نمی توان یافت . زمان را قضا نیست دریغ از چنین گوهر نفیصی که چنین به هیچ از دست می رود . عزیزان دریابید خود را که حیف از این نازنین عمر که چنین ضایع از دست برود و گرویی از وی نگیرید . او در تمام دوران جوانی کوشش خود را برای آموختن به کار می برد و تا نیمه های شب بیدار می ماند و مطالعه می کرد ایشان هم چنین از جوانی به سحرخیزی تهجّد و راز و نیازهای شبانه اهتمام داشت و می توان گفت که هیچ گاه پیش از طلوع آفتاب در خواب نبود . [میانمار],"[0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
روز جمعه من صبح ساعت پنج بیدار می شوم وضو می گیرم بعد از من نماز خواندم بعد از من تقبات را می خوانم کار که کی انجام می دهند صبح ساعت هفت صبحانه می خورم بعد از من دخترم آماده می کنم من خودم آماده می شوم بعد از من ساعت هفت به مدرسه می روم . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 40, 40, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
من مر روز شوب می پذم . [چین],"[0, 0, 0, 12, 0, 0, 0]"
پس برای رعایت و نگهداری مقررات و قوانین و تربیت و آگاهی لازم است . [پاکستان],"[0, 0, 0, 40, 0, 0, 40, 0, 40, 0, 40, 0, 0, 0, 0]"
همسرم برادر و خواهر ندارد امّا من یک خواهر و دو برادر دارم خواهرم شهربانو از من کوچک‎تر است . اودانشآموز است و درمدرسهی شهید بهشتی درس میخواند . برادرم سجّاد مهندسِ رایانه است . ایشان در فروردگاهِ امام خمینیِ ره تهران کار میکند . بسیاری از مردمِ جهان در روزهای تعطیل به مسافرت می روند . در این روزها بیشتر جادّه ها و خیابانها شلوغ و پر ترافیک است . بعضی از مردم با ماشین شخصی مسافرت میکنند و بعضی هم به دفترهای مسافرتی می روند و بلیطِ هواپیما قطار یا اتوبوس می خرند . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
قاب عکس روی دویوار است . [هند],"[0, 0, 0, 13, 0, 0]"
مویصر- آضغه-آژده ها-مشحل- اقبت- خفلت- نیکبت [پاکستان],"[0, 0, 0, 0, 12, 0]"
وقتی راننده گفت آماده_شوید مشهد زسیدیم من بسیار خوشحال شدم و باروبنه را جمع کردم ما از ماشین پیاده شدیم و در هتل داخل شدیم . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
و این آگاهی و تربیت وظیفه پدر و مادر و استادان و معلمها می باشد . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0]"
این دو دیدگاه را باهم مقایسه کنید و نظر را بیان کن - جواب- نام کشور ما هند است- انجا ترح ترح فرهنگی موجود شدند- بلکه در این تمام جهان ترح ترح مردوم هستند- یستی آنها را دیگر هستند ، زبان دیگر هستند ، غذا و لباس ، و فرهنگی دیگر هستند-برای این دیکر فرهنگی این جهان را خیلی خوب است- [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
یعنی می¬توانند برنامه ای مخصوص برای این اوقات ؟؟؟؟؟ مانند : سوار شدن اسب ، دویدن ، بازی کردن ، گردش کردن و چیزهای مانند آن است [سوریه],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0]"
آنجا اتمنان قلب پیدا می کنم . [فرانسه],"[0, 12, 0, 0, 0, 0, 0]"
